Id,RelatedPostId,PostId,LinkTypeId,CreationDate
4,9,20,1,2010-08-05T23:53:20.917
5,37,24,1,2010-08-10T23:15:55.670
7,48,55,1,2010-08-13T12:36:06.783
29,69,74,1,2010-08-18T20:44:25.323
30,48,74,1,2010-08-18T20:44:25.323
39,11,56,1,2010-08-19T14:09:39.177
40,4,56,1,2010-08-19T14:09:39.177
52,48,69,1,2010-08-23T18:22:50.303
67,37,101,1,2010-08-24T18:05:00.210
2043,9,127,1,2010-09-28T00:38:24.050
2801,154,4,1,2010-10-11T14:00:03.500
3132,4,154,1,2010-10-17T01:38:46.123
3349,2,83,1,2010-10-22T17:10:15.340
5674,185,184,1,2010-12-16T21:09:50.567
5707,184,185,1,2010-12-17T20:25:35.713
6046,201,200,1,2010-12-23T17:10:09.187
7955,148,224,1,2011-01-30T17:55:49.123
10681,257,279,1,2011-03-29T14:40:49.620
10932,180,284,1,2011-03-31T08:24:34.227
12383,184,292,1,2011-04-16T00:06:13.110
12959,118,297,1,2011-04-20T16:23:36.910
21011,362,369,1,2011-08-07T23:12:04.300
22187,369,372,1,2011-08-19T17:43:10.643
23388,148,392,1,2011-09-01T18:14:48.720
23389,224,392,1,2011-09-01T18:14:48.720
23515,394,224,1,2011-09-02T16:05:39.047
28291,72,423,1,2011-10-24T08:42:10.407
29147,362,447,1,2012-01-03T21:48:53.593
29797,392,492,1,2012-05-01T00:49:52.887
29798,148,492,1,2012-05-01T00:49:52.887
29799,224,492,1,2012-05-01T00:49:52.887
29825,492,495,1,2012-05-01T13:58:45.247
30229,20,512,1,2012-06-06T18:20:58.293
30230,392,511,1,2012-06-06T19:12:48.463
30231,505,511,1,2012-06-06T19:12:48.463
30341,521,148,1,2012-06-14T16:13:55.150
30477,534,554,1,2012-06-21T15:57:14.630
30528,512,555,1,2012-06-21T20:07:04.610
30534,554,534,1,2012-06-21T21:22:10.713
30952,436,586,1,2012-07-12T18:17:52.777
31231,99,597,1,2012-08-03T18:35:33.540
31314,426,599,1,2012-08-08T23:40:30.343
31375,11,604,1,2012-08-19T00:32:19.670
31663,578,622,1,2012-09-10T21:29:24.317
31716,622,635,1,2012-09-12T12:54:25.500
31855,578,637,1,2012-10-01T02:53:50.340
31860,622,643,1,2012-10-01T20:09:50.980
31861,635,643,1,2012-10-01T20:09:50.980
31862,578,643,1,2012-10-01T20:09:50.980
31863,118,643,1,2012-10-01T20:09:50.980
31864,455,643,1,2012-10-01T20:09:50.980
32051,510,653,1,2012-10-22T01:20:51.263
32188,633,661,1,2012-10-28T03:50:02.170
35343,597,677,1,2013-01-25T18:50:22.260
36023,154,4,3,2013-02-18T03:03:22.157
36024,1,10,3,2013-02-18T03:03:22.157
36025,426,599,3,2013-02-18T03:03:22.157
37296,286,716,1,2013-04-05T22:04:19.223
37329,722,716,1,2013-04-08T06:14:22.757
37759,658,756,1,2013-05-28T17:17:44.520
37825,722,764,1,2013-06-04T21:30:58.307
37879,691,771,1,2013-06-06T21:05:12.713
38024,747,778,1,2013-06-26T19:41:08.980
38310,751,809,1,2013-07-30T03:57:53.037
38386,755,35,1,2013-08-13T23:00:49.680
38482,127,819,1,2013-08-26T15:32:05.637
38483,9,819,1,2013-08-26T15:32:05.637
38484,692,819,1,2013-08-26T15:32:05.637
38485,730,819,1,2013-08-26T15:32:05.637
38752,801,833,1,2013-10-05T23:04:19.433
38873,840,845,1,2013-10-31T21:54:13.243
38911,848,55,1,2013-11-04T11:24:49.547
38912,848,847,1,2013-11-04T15:33:11.630
39965,840,1854,1,2013-11-12T08:38:43.837
40180,415,1872,1,2013-12-09T07:07:16.530
40194,224,1873,1,2013-12-10T01:09:54.657
40594,653,1892,1,2014-02-14T06:36:22.903
40595,510,1892,1,2014-02-14T06:36:22.903
40596,15,1892,1,2014-02-14T06:36:22.903
40597,852,1892,1,2014-02-14T06:36:22.903
40608,1892,1896,1,2014-02-14T16:01:37.360
40681,1899,1906,1,2014-02-23T15:10:37.140
40723,15,1910,1,2014-02-26T09:01:48.843
40739,801,1911,1,2014-02-26T22:27:04.760
40751,852,1910,1,2014-02-27T03:34:01.033
40845,801,1924,1,2014-03-03T01:34:00.427
41123,1939,1954,1,2014-03-31T20:09:05.143
41134,1954,1939,1,2014-03-31T20:09:29.297
41175,118,1962,1,2014-04-08T20:14:56.237
41211,1932,1966,1,2014-04-11T17:44:42.660
41216,1932,1966,3,2014-04-11T23:24:56.867
41728,1981,1991,1,2014-06-07T17:41:33.633
42773,1991,1981,1,2014-06-26T19:15:50.500
42796,15,2000,1,2014-07-04T22:49:18.927
43025,2018,2015,1,2014-08-05T12:16:24.470
43043,2015,2025,1,2014-08-08T15:09:10.260
43492,822,2036,1,2014-10-14T22:21:06.633
43500,1966,1932,1,2014-10-21T18:58:34.037
43613,1949,1908,1,2014-12-01T04:19:22.150
43637,1949,2047,1,2014-12-11T17:41:47.430
43695,1949,2047,3,2014-12-15T18:45:43.187
43735,2048,1918,3,2015-01-01T03:26:48.283
43905,15,2066,1,2015-02-13T21:29:46.450
43906,1910,2066,1,2015-02-13T21:32:01.283
43907,2000,2066,1,2015-02-13T21:33:08.927
43937,2063,2069,1,2015-02-19T15:30:57.647
43995,2055,2076,1,2015-03-03T17:23:03.260
44010,2050,2076,1,2015-03-03T17:50:33.987
44226,840,2092,1,2015-04-20T12:21:54.560
44274,1854,2092,1,2015-04-24T08:27:23.667
44347,2094,2108,1,2015-04-30T11:12:45.693
44370,2095,2114,1,2015-05-04T20:02:50.500
44381,2114,2095,1,2015-05-04T20:03:19.450
44383,2094,2114,1,2015-05-04T21:01:03.340
44433,778,2124,1,2015-05-24T22:52:33.500
44444,232,2124,1,2015-05-24T23:01:50.020
44445,441,2124,1,2015-05-24T23:01:50.020
44787,1932,2140,1,2015-07-07T03:55:13.090
44817,2140,1932,1,2015-07-18T14:50:39.067
45449,1949,2192,1,2015-10-26T12:39:28.867
45527,148,2201,1,2015-11-26T05:55:21.250
45528,392,2201,1,2015-11-26T05:55:21.250
45576,1910,2211,1,2015-12-04T04:39:10.663
45577,15,2211,1,2015-12-04T13:54:52.227
45578,224,2211,1,2015-12-04T14:17:09.153
45579,1974,2211,1,2015-12-04T14:17:09.153
45580,2201,2211,1,2015-12-04T14:17:09.153
45931,15,2231,1,2016-01-14T19:48:11.417
45932,2211,2232,1,2016-01-14T21:38:44.263
46209,2055,2149,1,2016-02-23T17:29:18.313
46264,2211,2263,1,2016-02-29T17:20:27.710
46265,2232,2263,1,2016-02-29T17:20:27.710
46266,2000,2263,1,2016-02-29T17:20:27.710
46466,325,2276,1,2016-04-12T00:15:02.000
46511,370,2282,1,2016-04-17T13:20:28.763
46564,510,2285,1,2016-04-25T15:21:49.767
46842,2207,127,1,2016-06-21T16:23:42.710
46860,2172,2315,1,2016-06-24T20:27:03.347
46993,325,2334,1,2016-07-19T12:31:28.377
47051,2124,2342,1,2016-07-29T13:51:10.687
47248,2223,2349,1,2016-08-15T15:13:43.563
47285,2285,669,1,2016-08-22T07:39:39.337
47371,618,2361,1,2016-09-13T21:00:09.517
47385,669,2370,1,2016-09-20T17:15:55.797
47577,2361,2376,1,2016-10-22T19:51:52.367
47590,2376,2361,1,2016-10-23T13:09:51.797
47667,2124,2389,1,2016-11-01T20:22:42.613
47808,2149,2395,1,2016-12-15T18:17:04.440
47858,2110,2406,1,2016-12-19T22:28:02.617
47869,2003,2406,1,2016-12-20T06:34:34.487
47873,2055,2400,1,2016-12-21T15:16:52.330
47889,2207,2411,1,2016-12-22T21:07:14.060
47955,2384,2414,1,2017-01-02T22:11:26.423
48225,2000,2430,1,2017-02-19T14:45:54.183
48226,15,2430,1,2017-02-19T14:45:54.183
48300,1,10,1,2017-03-16T15:44:46.303
48301,56,11,1,2017-03-16T15:44:46.303
48302,37,168,1,2017-03-16T15:44:46.303
48303,148,202,1,2017-03-16T15:44:46.303
48304,606,423,1,2017-03-16T15:44:46.303
48305,184,687,1,2017-03-16T15:44:46.303
48557,15,2440,1,2017-04-13T17:31:43.350
48558,2211,2440,1,2017-04-13T17:31:43.350
48624,2315,2448,1,2017-04-26T13:07:03.820
48625,127,2448,1,2017-04-26T13:07:03.820
48626,2155,2448,1,2017-04-26T13:07:03.820
48668,426,2455,1,2017-05-26T04:40:39.833
48752,2343,2459,1,2017-06-08T15:27:05.250
48958,2076,2472,1,2017-07-08T16:39:19.590
49072,127,2477,1,2017-08-10T15:26:09.330
49271,2497,2499,1,2017-09-07T23:17:56.863
49278,127,2477,3,2017-09-08T02:52:44.367
49279,2498,2497,1,2017-09-08T03:31:03.180
49280,2114,2499,1,2017-09-08T13:48:45.790
50986,2207,2508,1,2017-10-25T13:17:07.423
50987,127,2508,1,2017-10-25T13:17:07.423
50988,847,2508,1,2017-10-25T13:17:07.423
50989,2442,2508,1,2017-10-25T13:17:07.423
50990,2153,2508,1,2017-10-25T13:17:07.423
50991,2132,2508,1,2017-10-25T13:17:07.423
50992,2152,2508,1,2017-10-25T13:17:07.423
51783,2467,2514,1,2017-12-05T04:52:06.113
51898,325,2516,1,2017-12-09T19:51:29.807
52992,2467,2548,1,2018-02-27T20:21:48.620
52993,2467,2548,3,2018-02-27T20:32:32.363
53014,2076,2549,1,2018-03-02T16:05:39.337
55738,2376,2569,1,2018-05-30T15:58:26.753
55899,2211,2571,1,2018-06-11T17:55:00.110
56059,2524,2586,1,2018-07-19T12:11:13.737
56381,2592,2602,1,2018-09-06T23:07:49.437
56391,2298,2602,1,2018-09-07T14:49:35.240
56414,2602,2611,1,2018-09-10T13:11:35.090
56415,2298,2611,1,2018-09-10T16:30:31.703
56492,2602,2611,3,2018-09-17T01:26:44.597
56887,2253,2626,1,2018-10-30T04:16:04.230
56888,2253,2626,3,2018-10-30T10:48:24.457
57290,2376,2643,1,2019-01-24T19:22:16.913
57465,2149,2650,1,2019-02-05T21:12:57.750
57481,2645,2536,3,2019-02-07T13:27:44.473
57621,2400,2659,1,2019-03-20T20:58:36.583
57653,415,2662,1,2019-03-23T16:45:16.930
57654,1872,2662,1,2019-03-23T16:45:16.930
57655,2395,2662,1,2019-03-23T16:45:16.930
57670,2659,2662,1,2019-03-26T11:01:14.390
57699,2618,2666,1,2019-04-01T20:23:19.080
58110,2300,2688,1,2019-05-08T00:28:04.217
58119,2467,2688,1,2019-05-08T18:09:22.800
58134,2662,2694,1,2019-05-10T14:46:39.340
58149,2662,2699,1,2019-05-11T04:20:06.643
58305,2712,2711,1,2019-05-21T19:26:44.840
58797,2361,2722,1,2019-06-11T16:48:49.400
58806,2376,2722,1,2019-06-12T09:34:45.913
58810,2722,2725,1,2019-06-12T18:30:57.793
58831,2376,2725,1,2019-06-13T11:57:42.047
58846,2542,2722,1,2019-06-17T02:45:44.620
59993,2636,2755,1,2019-08-28T23:23:53.543
59994,2066,2755,1,2019-08-28T23:23:53.543
59995,2211,2755,1,2019-08-28T23:23:53.543
60320,2779,2774,1,2019-10-08T14:00:17.200
60348,2571,2783,1,2019-10-11T19:15:46.920
60363,2253,2773,1,2019-10-14T12:48:36.667
60731,2545,2807,1,2019-12-13T23:38:05.343
60791,2361,2812,1,2019-12-26T14:15:41.307
60792,2722,2812,1,2019-12-26T14:15:41.307
60793,2376,2812,1,2019-12-26T14:15:41.307
60805,2641,2815,1,2020-01-01T02:49:30.183
60894,2376,2821,1,2020-01-13T09:36:21.097
60897,2821,2823,1,2020-01-13T15:28:54.200
60982,2124,2824,1,2020-01-22T12:58:50.560
61232,2825,2838,1,2020-02-27T08:24:09.050
61240,2840,2645,3,2020-03-05T10:55:02.983
61267,2803,2845,1,2020-03-07T22:14:52.977
61365,2845,2856,3,2020-03-14T13:31:13.257
61411,2845,2859,1,2020-03-17T21:09:39.140
62481,2853,2859,1,2020-04-13T20:24:29.163
62524,1949,15,1,2020-04-26T16:12:51.927
62708,2152,2874,1,2020-05-28T19:58:35.900
62822,817,2881,1,2020-06-27T14:00:38.643
63171,2207,2892,1,2020-08-07T12:49:20.903
63172,127,2207,1,2020-08-07T14:13:49.487
63173,2850,2898,1,2020-08-13T13:11:32.137
63873,2631,2054,1,2020-11-09T16:28:34.593
63930,2944,2947,3,2020-11-25T19:43:30.397
63938,2331,2948,1,2020-12-10T22:02:03.160
63949,730,2954,1,2020-12-16T21:02:27.467
63993,2815,2961,1,2021-01-19T17:16:46.703
64003,2376,2962,1,2021-01-21T00:30:43.833
64062,2376,2973,1,2021-01-30T11:20:12.257
64082,2602,2975,1,2021-02-02T03:05:49.160
66083,343,2994,1,2021-04-13T01:05:17.640
66133,2195,3002,1,2021-05-07T21:04:18.780
66134,423,3002,1,2021-05-07T21:04:18.780
66135,606,3002,1,2021-05-07T21:04:18.780
66145,2987,3003,1,2021-05-22T00:03:38.460
66156,3003,2987,1,2021-05-24T10:18:59.217
66409,2406,3012,1,2021-07-14T18:03:39.970
66410,606,3012,1,2021-07-14T18:03:39.970
66411,2032,3012,1,2021-07-14T18:03:39.970
66412,423,3012,1,2021-07-14T18:03:39.970
66423,2110,3012,1,2021-07-15T12:07:21.087
66432,3014,3013,1,2021-07-19T14:54:29.303
66443,3013,3015,1,2021-07-19T14:57:06.833
66444,3014,3015,1,2021-07-19T15:00:52.127
66452,3015,3014,1,2021-07-19T15:04:03.857
66454,3015,3014,3,2021-07-20T21:57:38.970
66480,2725,3030,1,2021-07-30T01:59:23.043
66482,2545,3030,1,2021-07-30T12:20:01.123
66913,3015,3046,1,2021-12-03T08:21:13.340
66916,2767,3046,1,2021-12-03T11:47:12.833
66919,2298,3046,1,2021-12-30T13:28:58.587
66922,2961,3050,1,2022-01-12T14:53:18.760
67445,2542,3053,1,2022-04-21T16:58:01.193
67446,2361,3053,1,2022-04-22T19:00:17.357
67447,2722,3053,1,2022-04-22T19:00:17.357
67931,2298,3076,1,2022-10-17T06:27:15.587
68818,3080,3082,1,2023-01-26T14:59:06.307
68819,3082,3080,1,2023-01-26T15:00:01.403
68820,3050,3083,1,2023-01-26T15:03:16.877
